VideoID,Video,ClassID
0,310ToYuma_drink_h_nm_np1_fr_goo_2.avi,0
1,310ToYuma_drink_u_nm_np1_le_goo_5.avi,0
2,50_FIRST_DATES_drink_u_nm_np1_fr_goo_29.avi,0
3,AMADEUS_drink_u_nm_np1_fr_goo_11.avi,0
4,A_Beautiful_Mind_1_drink_u_cm_np1_fr_goo_4.avi,0
5,A_Beautiful_Mind_1_drink_u_nm_np1_ri_goo_6.avi,0
6,AboutABoy_drink_u_nm_np1_fr_goo_8.avi,0
7,AllThePresidentMen_drink_f_nm_np1_ri_med_8.avi,0
8,AllThePresidentMen_drink_f_nm_np2_ri_med_2.avi,0
9,AllThePresidentMen_drink_h_nm_np1_fr_goo_5.avi,0
10,AllThePresidentMen_drink_u_nm_np1_fr_goo_4.avi,0
11,AmericanGangster_drink_h_nm_np1_fr_goo_17.avi,0
12,AmericanGangster_drink_h_nm_np1_fr_goo_53.avi,0
13,AmericanGangster_drink_h_nm_np1_ri_bad_4.avi,0
14,AmericanGangster_drink_h_nm_np1_ri_med_3.avi,0
15,AmericanGangster_drink_u_nm_np1_fr_goo_44.avi,0
16,AmericanGangster_drink_u_nm_np1_fr_goo_67.avi,0
17,AmericanGangster_drink_u_nm_np1_fr_med_40.avi,0
18,AmericanGangster_drink_u_nm_np1_fr_med_47.avi,0
19,American_History_X_drink_h_nm_np1_fr_goo_46.avi,0
20,BATMAN_BEGINS_drink_h_nm_np1_fr_goo_9.avi,0
21,BIG_FISH_drink_f_nm_np1_le_goo_7.avi,0
22,BIG_FISH_drink_h_nm_np1_ri_goo_25.avi,0
23,BIG_FISH_drink_u_nm_np1_fr_goo_5.avi,0
24,CastAway2_drink_h_cm_np1_ri_goo_6.avi,0
25,CastAway2_drink_u_cm_np1_le_goo_8.avi,0
26,CharlieAndTheChocolateFactory_drink_h_nm_np1_fr_goo_26.avi,0
27,ChildrenOfMen_drink_u_cm_np1_fr_goo_2.avi,0
28,ChildrenOfMen_drink_u_nm_np1_fr_goo_0.avi,0
29,DONNIE_DARKO_drink_u_nm_np1_fr_goo_4.avi,0
30,EVOLUTION_drink_u_cm_np1_fr_goo_11.avi,0
31,Fellowship_2_drink_u_nm_np1_fr_goo_0.avi,0
32,Finding_Forrester_3_drink_h_nm_np1_fr_med_16.avi,0
33,Finding_Forrester_3_drink_u_nm_np1_fr_goo_15.avi,0
34,Finding_Forrester_5_drink_h_cm_np1_ri_goo_3.avi,0
35,GardenWiseA256kb_drink_u_cm_np1_fr_goo_0.avi,0
36,Gattaca_drink_h_cm_np1_fr_goo_4.avi,0
37,Hitch_Part_1_drink_h_nm_np1_le_goo_5.avi,0
38,IamLegend_drink_h_nm_np1_fr_goo_22.avi,0
39,Juno_drink_h_nm_np1_fr_goo_0.avi,0
40,LittleChildren_drink_h_nm_np1_fr_goo_6.avi,0
41,Oceans11_drink_h_nm_np1_fr_goo_3.avi,0
42,Oceans11_drink_h_nm_np1_fr_goo_4.avi,0
43,Oceans11_drink_h_nm_np1_fr_goo_8.avi,0
44,Oceans11_drink_h_nm_np1_le_goo_5.avi,0
45,Oceans13_drink_h_nm_np1_fr_goo_3.avi,0
46,OldSchool_drink_h_nm_np1_fr_goo_4.avi,0
47,OldSchool_drink_u_nm_np1_ri_goo_5.avi,0
48,RATRACE_drink_h_nm_np1_fr_goo_0.avi,0
49,RATRACE_drink_u_nm_np1_ri_goo_5.avi,0
50,RETURN_OF_THE_KING_drink_f_nm_np1_fr_med_9.avi,0
51,RETURN_OF_THE_KING_drink_h_cm_np1_ri_goo_48.avi,0
52,RETURN_OF_THE_KING_drink_h_nm_np1_fr_goo_54.avi,0
53,RETURN_OF_THE_KING_drink_h_nm_np1_ri_goo_13.avi,0
54,RETURN_OF_THE_KING_drink_u_cm_np2_fr_goo_2.avi,0
55,Shadow_of_a_Doubt_drink_h_nm_np1_fr_goo_8.avi,0
56,SweeneyTodd_drink_h_nm_np1_fr_bad_3.avi,0
57,SweeneyTodd_drink_h_nm_np1_fr_med_4.avi,0
58,SweeneyTodd_drink_u_cm_np1_le_med_22.avi,0
59,ThePerfectScore_drink_u_cm_np1_fr_goo_5.avi,0
60,The_Departed_-_Part_2_drink_u_nm_np1_fr_bad_0.avi,0
61,The_House_on_Haunted_Hill_drink_h_nm_np1_fr_goo_3.avi,0
62,The_House_on_Haunted_Hill_drink_u_nm_np1_fr_goo_2.avi,0
63,The_Matrix_3_drink_h_nm_np1_ri_goo_11.avi,0
64,The_Matrix_3_drink_h_nm_np1_ri_goo_9.avi,0
65,The_Matrix_3_drink_u_nm_np1_ri_med_10.avi,0
66,TrumanShow_drink_h_nm_np1_ri_goo_22.avi,0
67,Veoh_Alpha_Dog_2_drink_u_nm_np1_fr_goo_5.avi,0
68,WeddingCrashers_drink_h_nm_np2_fr_goo_15.avi,0
69,gangboy256kb_drink_h_nm_np1_ri_goo_0.avi,0
70,50_FIRST_DATES_jump_f_nm_np1_fr_bad_3.avi,1
71,Arrasando_no_Le_Parkour_jump_f_cm_np1_le_bad_0.avi,1
72,Arrasando_no_Le_Parkour_jump_f_cm_np1_ri_bad_1.avi,1
73,Arrasando_no_Le_Parkour_jump_f_nm_np1_ri_med_3.avi,1
74,BATMAN_BEGINS_jump_f_cm_np1_ri_med_18.avi,1
75,DONNIE_DARKO_jump_f_nm_np1_fr_med_7.avi,1
76,DONNIE_DARKO_jump_f_nm_np1_ri_bad_6.avi,1
77,Faith_Rewarded_jump_f_cm_np1_ba_bad_15.avi,1
78,Faith_Rewarded_jump_f_nm_np1_ri_bad_86.avi,1
79,Faith_Rewarded_jump_f_nm_np1_ri_med_89.avi,1
80,Fellowship_5_jump_f_nm_np1_fr_bad_10.avi,1
81,Fellowship_5_jump_f_nm_np1_ri_bad_11.avi,1
82,Gregoire_Airman_showreel_2008_jump_f_cm_np1_le_bad_0.avi,1
83,Gregoire_Airman_showreel_2008_jump_f_cm_np1_le_bad_2.avi,1
84,Gregoire_Airman_showreel_2008_jump_f_cm_np1_le_bad_4.avi,1
85,Gregoire_Airman_showreel_2008_jump_f_cm_np1_ri_bad_3.avi,1
86,Gregoire_Airman_showreel_2008_jump_f_cm_np1_ri_bad_5.avi,1
87,Gregoire_Airman_showreel_2008_jump_f_cm_np1_ri_bad_6.avi,1
88,Huge_Dive-Roll_jump_f_cm_np1_ri_bad_0.avi,1
89,IamLegend_jump_f_cm_np1_ba_bad_12.avi,1
90,KUNG_FU_HUSTLE_jump_f_cm_np1_fr_bad_16.avi,1
91,KUNG_FU_HUSTLE_jump_f_cm_np1_fr_bad_55.avi,1
92,KUNG_FU_HUSTLE_jump_f_cm_np1_le_bad_57.avi,1
93,KUNG_FU_HUSTLE_jump_f_nm_np1_fr_bad_38.avi,1
94,LONGESTYARD_jump_f_cm_np1_le_bad_14.avi,1
